6000,4161050,KWH,I_TAX,EUR,DE	: 	0.2953 	0.2862 	0.2819 	0.2776 	0.2751 	0.2591 	0.2629 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4161050,KWH,I_TAX,EUR,DE11100001	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.2816 	0.2788 	0.2796 	0.2838 	0.2895 	0.2931 	0.3192 	0.3136 	0.3112 	0.3074 	0.3028 	0.3017 	0.2950 	0.2954 	0.2617 	0.2624 	0.2649 	0.2590 	0.2584 	0.2525 	0.2295 	0.2251 
6000,4161050,KWH,I_TAX,EUR,DE21200001	: 	: 	: 	: 	: 	: 	: 	: 	0.2643 	0.2571 	0.2496 	0.2263 	0.2266 	0.1964 	0.1964 	0.1964 	0.2304 	0.2020 	0.2002 	0.1982 	0.1979 	0.2009 	0.2049 	0.2075 	0.2331 	0.2290 	0.2270 	0.2242 	0.2215 	0.2044 	0.1948 	0.1950 	0.2351 	0.2357 	0.2379 	0.2328 	0.2321 	0.2263 	0.2121 	0.2081 
6000,4161050,KWH,I_TAX,EUR,DE60000001	: 	: 	: 	: 	: 	: 	: 	: 	0.2587 	0.2587 	0.2738 	0.2738 	0.2710 	0.2710 	0.2603 	0.2603 	0.2752 	0.2687 	0.2710 	0.2683 	0.2679 	0.2720 	0.2829 	0.2864 	0.3093 	0.3039 	0.2881 	0.2846 	0.2806 	0.2707 	0.2582 	0.2343 	0.2336 	0.2339 	0.2421 	0.2369 	0.2360 	0.2291 	0.2145 	0.2106 
6000,4161050,KWH,I_TAX,EUR,DE71200001	: 	: 	: 	: 	: 	: 	: 	: 	0.2493 	0.2493 	0.2189 	0.2189 	0.2177 	0.2177 	0.2105 	0.2105 	0.2153 	0.1957 	0.1940 	0.1921 	0.1918 	0.1947 	0.1986 	0.2011 	0.2196 	0.2158 	0.2141 	0.2043 	0.2014 	0.2006 	0.1920 	0.1923 	0.2283 	0.2403 	0.2425 	0.2373 	0.2366 	0.2310 	0.2164 	0.2123 
6000,4161050,KWH,I_TAX,EUR,DE80300001	: 	: 	: 	: 	: 	: 	: 	: 	0.2859 	0.2423 	0.2715 	0.2715 	0.2316 	0.2316 	0.2277 	0.2277 	0.2424 	0.2307 	0.2287 	0.2264 	0.2261 	0.2295 	0.2341 	0.2370 	0.2350 	0.2308 	0.2288 	0.2260 	0.2250 	0.2242 	0.1963 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4161050,KWH,I_TAX,EUR,DE92100001	: 	: 	: 	: 	: 	: 	: 	: 	0.2260 	0.2260 	0.2230 	0.2230 	0.2201 	0.2201 	0.2135 	0.2105 	0.2123 	0.2005 	0.1987 	0.1967 	0.1953 	0.1982 	0.2022 	0.2047 	0.2227 	0.2188 	0.2168 	0.2142 	0.2179 	0.2171 	0.2067 	0.2070 	0.2061 	0.1982 	0.2000 	0.1957 	0.2341 	0.2277 	0.2132 	0.2091 
6000,4161050,KWH,I_TAX,EUR,DEA1100001	: 	: 	: 	: 	: 	: 	: 	: 	0.2342 	0.2326 	0.2267 	0.2267 	0.2173 	0.2173 	0.2090 	0.2090 	0.2307 	0.2070 	0.2051 	0.2032 	0.2028 	0.2059 	0.2101 	0.2127 	0.2452 	0.2408 	0.2387 	0.2358 	0.2323 	0.2315 	0.2204 	0.2328 	0.2320 	0.2326 	0.2567 	0.2512 	0.2505 	0.2439 	0.2247 	0.2036 
6000,4161050,KWH,I_TAX,EUR,DED0400001	: 	: 	: 	: 	: 	: 	: 	: 	0.2381 	0.2381 	0.2194 	0.2194 	0.2140 	0.2140 	0.2111 	: 	0.2117 	0.1999 	0.1893 	0.1874 	0.1871 	0.1899 	0.1938 	0.1962 	0.2395 	0.2353 	0.2332 	0.2304 	0.2293 	0.2285 	0.2171 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4161050,KWH,I_TAX,EUR,DEG0100001	: 	: 	: 	: 	: 	: 	: 	: 	0.2503 	0.2503 	0.2459 	0.2459 	0.2486 	0.2486 	0.2403 	0.2403 	0.2603 	0.2485 	0.2463 	0.2439 	0.2435 	0.2472 	0.2522 	0.2553 	0.2568 	0.2523 	0.2500 	0.2470 	0.2458 	0.2285 	0.2171 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4161100,KWH,I_TAX,EUR,DE	: 	0.2402 	0.2322 	0.2287 	0.2254 	0.2235 	0.2110 	0.2108 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4161100,KWH,I_TAX,EUR,DE11100001	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.2064 	0.2043 	0.2052 	0.2082 	0.2125 	0.2151 	0.2343 	0.2301 	0.2283 	0.2256 	0.2223 	0.2214 	0.2073 	0.2075 	0.1987 	0.1992 	0.2010 	0.1966 	0.1961 	0.1916 	0.1740 	0.1707 
6000,4161100,KWH,I_TAX,EUR,DE21200001	: 	: 	: 	: 	: 	: 	: 	: 	0.2094 	0.2045 	0.2045 	0.1913 	0.1913 	0.1710 	0.1710 	0.1710 	0.2132 	0.1871 	0.1855 	0.1836 	0.1833 	0.1861 	0.1899 	0.1922 	0.2165 	0.2127 	0.2108 	0.2082 	0.2057 	0.1886 	0.1797 	0.1800 	0.1813 	0.1818 	0.1834 	0.1795 	0.1789 	0.1745 	0.1635 	0.1604 
6000,4161100,KWH,I_TAX,EUR,DE60000001	: 	: 	: 	: 	: 	: 	: 	: 	0.2057 	0.2057 	0.2205 	0.2205 	0.2177 	0.2177 	0.2070 	0.2070 	0.2218 	0.2153 	0.2181 	0.2160 	0.2156 	0.2189 	0.2227 	0.2254 	0.2420 	0.2378 	0.2226 	0.2199 	0.2169 	0.2040 	0.1946 	0.1766 	0.1759 	0.1763 	0.1957 	0.1915 	0.1908 	0.1852 	0.1734 	0.1702 
6000,4161100,KWH,I_TAX,EUR,DE71200001	: 	: 	: 	: 	: 	: 	: 	: 	0.2103 	0.2103 	0.1892 	0.1892 	0.1880 	0.1880 	0.1809 	0.1809 	0.1857 	0.1732 	0.1717 	0.1700 	0.1697 	0.1722 	0.1757 	0.1779 	0.1943 	0.1909 	0.1894 	0.1818 	0.1792 	0.1786 	0.1710 	0.1713 	0.1715 	0.1822 	0.1838 	0.1799 	0.1794 	0.1751 	0.1641 	0.1610 
